cohort_name,estimate,value,diagnostics,source
preeclampsia,Cohort timing,"For ectopic_pregnancy and miscarriage, timing is irrelevant as there is no overlap. For anaphylaxis_pregnant, bells_palsy_pregnant, encephalitis_pregnant, guillain_barre_syndrome_pregnant, myocarditis_or_pericarditis_pregnant, narcolepsy_pregnant, and transverse_myelitis_pregnant, entry is independent. For pregnant_alcohol_misuse and obesity_pregnant, these conditions would typically precede the diagnosis of preeclampsia by years. For gestational_diabetes, it typically precedes preeclampsia diagnosis by weeks or months. For deep_vein_thrombosis_pregnant, immune_thrombocytopenia_pregnant, myocardial_infarction_pregnant, pulmonary_embolism_pregnant, and thrombosis_thrombocytopenia_syndrome_pregnant, these can occur concurrently with or within days to weeks after preeclampsia diagnosis. For antepartum_haemorrhage, dysfunctional_labour, and stillbirth, these can occur concurrently with or within days of preeclampsia diagnosis, sometimes as a direct consequence. For eclampsia, hellp, disseminated_intravascular_coagulation_pregnant, haemorrhagic_stroke_pregnant, ischaemic_stroke_pregnant, and maternal_death, entry would typically be concurrent with or within hours to days of severe preeclampsia diagnosis, representing acute complications. For preterm_labour, preeclampsia often leads to or directly causes the onset of preterm labour, so timing would be concurrent or within days. For postpartum_endometritis and postpartum_haemorrhage, entry would typically be within hours to weeks after the delivery that resolves the preeclampsia. For mother_table, entry would be concurrent with the start of pregnancy or the first documented maternal record.",compare_cohorts,gemini-2.5-flash
preeclampsia,Frequently seen comorbidities,"Chronic hypertension, pre-gestational diabetes mellitus, obesity, chronic kidney disease, antiphospholipid syndrome, systemic lupus erythematosus, nulliparity, multifetal gestation, advanced maternal age, history of preeclampsia in a previous pregnancy (These conditions are either pre-existing risk factors or associated conditions that increase the likelihood of developing preeclampsia due to shared underlying vascular, inflammatory, or metabolic pathways.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
preeclampsia,Frequently seen signs and symptoms,"Hypertension, proteinuria, oedema, headache, visual disturbances, epigastric pain, elevated liver enzymes, low platelet count, impaired kidney function, shortness of breath (These signs and symptoms reflect the systemic nature of preeclampsia, stemming from widespread blood vessel dysfunction and fluid shifts affecting various organ systems.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
preeclampsia,Frequently seen medications,"Labetalol, nifedipine, methyldopa, magnesium sulfate, aspirin, betamethasone, dexamethasone, hydrochlorothiazide, furosemide, calcium carbonate (Medications are prescribed to manage high blood pressure, prevent seizures, or prepare the foetus for preterm delivery, reflecting the acute management of preeclampsia and its complications.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
postpartum_endometritis,Clinical description,"Postpartum endometritis is an infection of the uterine lining that occurs after childbirth, primarily caused by ascending polymicrobial bacteria from the lower genital tract.",cohort_count,gemini-2.5-flash
postpartum_endometritis,Frequency,"It is a common puerperal infection, and cases are readily identifiable in both primary care and hospital electronic healthcare records, as well as insurance claims data, given its distinct clinical presentation in the postpartum period.",cohort_count,gemini-2.5-flash
postpartum_endometritis,Median age of incident cases,"25 to 35 (Individuals typically present with postpartum endometritis in their mid-twenties to mid-thirties, aligning with the peak childbearing age.)",cohort_characteristics,gemini-2.5-flash
postpartum_endometritis,Percentage male,"0% to 0% (Postpartum endometritis exclusively affects individuals who have recently given birth, and therefore the proportion of males is zero.)",cohort_characteristics,gemini-2.5-flash
postpartum_endometritis,Survival at five years,"99% to 100% (The vast majority of individuals with postpartum endometritis survive, as it is a treatable infection, though severe cases can rarely lead to life-threatening complications.)",cohort_survival,gemini-2.5-flash
postpartum_endometritis,Cohort overlap,"You would expect 100% overlap with 'mother_table'. Moderate overlap of 10-30% is expected with 'dysfunctional_labour' due to shared risk factors like prolonged labour and interventions. Lower overlap of 5-15% may be seen with 'postpartum_haemorrhage' and 2-10% with 'gestational_diabetes' or 'preeclampsia'. Other specified cohorts would have less than 1% overlap, with 'maternal_death' being less than 0.1%.",compare_cohorts,gemini-2.5-flash
postpartum_endometritis,Cohort timing,"For individuals appearing in both cohorts, entry into 'postpartum_endometritis' would typically occur 1 to 10 days after entry into pregnancy-related cohorts such as 'pregnant_alcohol_misuse', 'gestational_diabetes', 'preeclampsia', and after labour-related cohorts like 'dysfunctional_labour', 'antepartum_haemorrhage', 'preterm_labour', 'stillbirth', and 'postpartum_haemorrhage'. This timing also applies to other specified pregnancy-related conditions such as 'eclampsia', 'hellp', and various 'pregnant' neurological or cardiovascular conditions, occurring after the associated delivery or pregnancy outcome. If 'maternal_death' is a direct complication of severe postpartum endometritis, then endometritis entry would precede it; otherwise, the events would be distinct with endometritis occurring first if part of the same pregnancy timeline. Cases of 'ectopic_pregnancy' or 'miscarriage' typically do not lead to postpartum endometritis as they represent different pregnancy outcomes.",compare_cohorts,gemini-2.5-flash
postpartum_endometritis,Frequently seen comorbidities,"Caesarean section, prolonged labour, premature rupture of membranes, chorioamnionitis, retained placental fragments, anaemia, gestational diabetes, preeclampsia, urinary tract infection, bacterial vaginosis (These comorbidities are often risk factors for developing postpartum endometritis or are common conditions during pregnancy and the postpartum period that may increase susceptibility or be associated with the same patient population.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
postpartum_endometritis,Frequently seen signs and symptoms,"Fever, uterine tenderness, foul-smelling lochia, purulent vaginal discharge, lower abdominal pain, chills, tachycardia, malaise, headache, abnormal uterine bleeding (These signs and symptoms are direct indicators of infection and inflammation within the uterus and are characteristic presentations of postpartum endometritis.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
postpartum_endometritis,Frequently seen medications,"Clindamycin, gentamicin, ampicillin, metronidazole, cefoxitin, doxycycline, ceftriaxone, paracetamol, ibuprofen, dicloxacillin (These medications are primarily antibiotics used to treat the bacterial infection, often given as a combination to cover the polymicrobial nature of the infection, with analgesics for pain management.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
postpartum_haemorrhage,Clinical description,"Postpartum haemorrhage is excessive bleeding from the genital tract occurring after childbirth, which can be primary (within 24 hours of birth) or secondary (from 24 hours up to 12 weeks postpartum). Its aetiology often includes uterine atony (most common), retained placental tissue, trauma to the genital tract, or a coagulation disorder.",cohort_count,gemini-2.5-flash
postpartum_haemorrhage,Frequency,"Postpartum haemorrhage is a common obstetric complication, affecting 5-10% of deliveries globally, and can be readily identified in hospital delivery records, primary care data, and insurance claims.",cohort_count,gemini-2.5-flash
postpartum_haemorrhage,Median age of incident cases,"25 to 35 (Postpartum haemorrhage occurs in women of childbearing age, mirroring the typical age range for childbirth.)",cohort_characteristics,gemini-2.5-flash
postpartum_haemorrhage,Percentage male,"0% to 0% (Postpartum haemorrhage is a condition exclusively affecting biological females, as it is a complication of childbirth.)",cohort_characteristics,gemini-2.5-flash
postpartum_haemorrhage,Survival at five years,"99% to 100% (With appropriate and timely medical intervention, survival rates for individuals experiencing postpartum haemorrhage are extremely high, although it remains a leading cause of maternal mortality worldwide.)",cohort_survival,gemini-2.5-flash
postpartum_haemorrhage,Cohort overlap,"Overlap with antepartum haemorrhage would be expected in 10-20% of cases, dysfunctional labour in 15-25%, eclampsia in 5-15%, gestational diabetes in 5-10%, HELLP syndrome in 5-15%, preeclampsia in 5-15%, postpartum endometritis in 2-5%, maternal death in less than 1%, preterm labour in 5-10%, disseminated intravascular coagulation pregnant in 1-5%, obesity pregnant in 10-20%, stillbirth in 5-10%, and mother table in 100%. Overlap with pregnant alcohol misuse, ectopic pregnancy, miscarriage, anaphylaxis pregnant, bells palsy pregnant, deep vein thrombosis pregnant, encephalitis pregnant, guillain barre syndrome pregnant, haemorrhagic stroke pregnant, immune thrombocytopenia pregnant, ischaemic stroke pregnant, myocardial infarction pregnant, myocarditis or pericarditis pregnant, pulmonary embolism pregnant, transverse myelitis pregnant, narcolepsy pregnant, and thrombosis thrombocytopenia syndrome pregnant would be very low, typically less than 1-2%, as these are generally distinct conditions.",compare_cohorts,gemini-2.5-flash
postpartum_haemorrhage,Cohort timing,"Antepartum haemorrhage, dysfunctional labour, eclampsia, gestational diabetes, HELLP syndrome, preeclampsia, preterm labour, obesity pregnant, and stillbirth would typically precede postpartum haemorrhage. Maternal death would occur shortly after, likely within hours to days of severe postpartum haemorrhage. Disseminated intravascular coagulation pregnant could be concurrent or follow severe postpartum haemorrhage within hours. Postpartum endometritis can either be a consequence of postpartum haemorrhage or cause secondary postpartum haemorrhage, typically within days to weeks. Entry into the mother table cohort would be concurrent, as the individual becomes a mother at the time of birth when postpartum haemorrhage occurs. The timing for other specified cohorts would be variable.",compare_cohorts,gemini-2.5-flash
postpartum_haemorrhage,Frequently seen comorbidities,"Anaemia, Coagulopathy, Placenta praevia, Placenta accreta, Preeclampsia, Gestational diabetes, History of previous postpartum haemorrhage, Uterine fibroids, Multiple pregnancy, Obesity (These conditions are either pre-existing risk factors that increase the likelihood of experiencing postpartum haemorrhage or are direct consequences of significant blood loss associated with it.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
postpartum_haemorrhage,Frequently seen signs and symptoms,"Vaginal bleeding, Tachycardia, Hypotension, Pallor, Weakness, Dizziness, Syncope, Oliguria, Uterine atony, Shock (The signs and symptoms of postpartum haemorrhage are primarily related to acute blood loss and the body's compensatory mechanisms to hypovolaemia.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
postpartum_haemorrhage,Frequently seen medications,"Oxytocin, Carboprost, Methylergometrine, Misoprostol, Tranexamic acid, Intravenous fluids, Red blood cells, Fresh frozen plasma, Iron supplements, Broad spectrum antibiotics (Medications for postpartum haemorrhage primarily include uterotonic agents to promote uterine contraction and stop bleeding, along with volume replacement and blood products to manage hypovolaemia and anaemia.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
maternal_death,Clinical description,"Maternal death is the death of a woman while pregnant or within 42 days of termination of pregnancy, irrespective of the duration and site of the pregnancy, from any cause related to or aggravated by the pregnancy or its management, but not from accidental or incidental causes. Aetiology is typically due to direct obstetric causes such as severe bleeding, hypertensive disorders of pregnancy, infection, or pre-existing conditions exacerbated by pregnancy.",cohort_count,gemini-2.5-flash
maternal_death,Frequency,"Maternal death is a rare but severe outcome. Cases can be identified in various real-world healthcare datasets, particularly those including hospital admissions, birth records, and death registrations.",cohort_count,gemini-2.5-flash
maternal_death,Median age of incident cases,"25 to 39 (Maternal death predominantly affects women during their reproductive years, consistent with the typical age range for pregnancy.)",cohort_characteristics,gemini-2.5-flash
maternal_death,Percentage male,"0% to 0% (Maternal death exclusively affects biological females, as it is defined by death during or shortly after pregnancy.)",cohort_characteristics,gemini-2.5-flash
maternal_death,Survival at five years,"0% to 0% (Maternal death represents the terminal event, therefore, survival after this event is by definition zero.)",cohort_survival,gemini-2.5-flash
maternal_death,Cohort overlap,"You would expect high overlap with antepartum_haemorrhage (40-60%), dysfunctional_labour (10-20%), eclampsia (20-30%), hellp (10-15%), preeclampsia (30-40%), postpartum_haemorrhage (20-30%), and pulmonary_embolism_pregnant (5-10%). Moderate overlap with deep_vein_thrombosis_pregnant (2-5%), ischaemic_stroke_pregnant (1-3%), haemorrhagic_stroke_pregnant (1-3%), myocardial_infarction_pregnant (1-2%), and obesity_pregnant (10-20%). Low overlap with pregnant_alcohol_misuse (1-5%), ectopic_pregnancy (<1%), gestational_diabetes (1-5%), postpartum_endometritis (1-5%), miscarriage (<1%), preterm_labour (1-5%), anaphylaxis_pregnant (<1%), bells_palsy_pregnant (<1%), disseminated_intravascular_coagulation_pregnant (1-3%), encephalitis_pregnant (<1%), guillain_barre_syndrome_pregnant (<1%), immune_thrombocytopenia_pregnant (<1%), myocarditis_or_pericarditis_pregnant (<1%), transverse_myelitis_pregnant (<1%), narcolepsy_pregnant (<1%), thrombosis_thrombocytopenia_syndrome_pregnant (<1%), and stillbirth (5-10%). Overlap with mother_table should be 100% as maternal death by definition applies only to mothers.",compare_cohorts,gemini-2.5-flash
maternal_death,Cohort timing,"For most conditions like antepartum_haemorrhage, eclampsia, preeclampsia, hellp, deep_vein_thrombosis_pregnant, ischaemic_stroke_pregnant, haemorrhagic_stroke_pregnant, myocardial_infarction_pregnant, pulmonary_embolism_pregnant, gestational_diabetes, obese_pregnant, and pregnant_alcohol_misuse, entry into these cohorts would typically precede maternal death by days, weeks, or months, as they represent complications or risk factors leading to the death. For dysfunctional_labour, postpartum_haemorrhage, and postpartum_endometritis, entry into these cohorts would typically occur very close to the maternal death, often within hours or days, as these are peripartum or immediate postpartum complications. Entry into the mother_table cohort would precede maternal death by the start of pregnancy or birth of the child. Stillbirth might occur concurrently or shortly before maternal death, as both can be outcomes of severe pregnancy complications.",compare_cohorts,gemini-2.5-flash
maternal_death,Frequently seen comorbidities,"Hypertensive disorder, Anaemia, Obesity, Diabetes mellitus, Mental health disorder, Cardiovascular disease, Chronic kidney disease, Autoimmune disease, Asthma, Epilepsy (These comorbidities are frequently seen as they can either directly lead to pregnancy complications that result in maternal death or can be significantly worsened by the physiological changes of pregnancy, increasing mortality risk.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
maternal_death,Frequently seen signs and symptoms,"Haemorrhage, Seizure, Severe headache, High blood pressure, Fever, Shortness of breath, Abdominal pain, Chest pain, Shock, Loss of consciousness (These signs and symptoms are indicative of acute obstetric emergencies or severe medical conditions that are the most common direct causes of maternal death.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
maternal_death,Frequently seen medications,"Oxytocin, Magnesium sulfate, Labetalol, Hydralazine, Antibiotic, Anticoagulant, Blood products, Diuretics, Anticonvulsant, Corticosteroid (These medications are commonly used to manage severe obstetric complications such as postpartum haemorrhage, eclampsia, severe pre-eclampsia, infections, or other critical medical conditions that can lead to maternal death.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
miscarriage,Clinical description,"Miscarriage, also known as spontaneous abortion, is the spontaneous loss of a pregnancy before 20 weeks of gestation. The aetiology is often multifactorial, commonly involving chromosomal abnormalities, but also structural uterine issues, hormonal imbalances, and maternal medical conditions.",cohort_count,gemini-2.5-flash
miscarriage,Frequency,"Miscarriage is very common, occurring in about 10-20% of clinically recognised pregnancies, and can be identified across various real-world healthcare datasets including primary care, hospital records, and insurance claims.",cohort_count,gemini-2.5-flash
miscarriage,Median age of incident cases,"28 to 35 (Individuals typically present in their late twenties to mid-thirties, reflecting the peak reproductive years, with risk increasing significantly after age 35.)",cohort_characteristics,gemini-2.5-flash
miscarriage,Percentage male,"0% to 0% (Miscarriage is a condition that affects pregnant individuals, who are biologically female.)",cohort_characteristics,gemini-2.5-flash
miscarriage,Survival at five years,"99% to 100% (The five-year survival rate for individuals experiencing a miscarriage is very high as it is rarely life-threatening to the mother, though it results in foetal loss.)",cohort_survival,gemini-2.5-flash
miscarriage,Cohort overlap,"Ectopic pregnancy: 5-15%; Antepartum haemorrhage: 20-30%; Mother table: 95-100%; Obesity_pregnant: 25-45%; Pregnant_alcohol_misuse: 1-5%; Maternal_death: <0.1%; Stillbirth: 5-10%. For dysfunctional_labour, eclampsia, gestational_diabetes, hellp, preeclampsia, postpartum_endometritis, postpartum_haemorrhage, preterm_labour, anaphylaxis_pregnant, bells_palsy_pregnant, deep_vein_thrombosis_pregnant, disseminated_intravascular_coagulation_pregnant, encephalitis_pregnant, guillain_barre_syndrome_pregnant, haemorrhagic_stroke_pregnant, immune_thrombocytopenia_pregnant, ischaemic_stroke_pregnant, myocardial_infarction_pregnant, myocarditis_or_pericarditis_pregnant, pulmonary_embolism_pregnant, transverse_myelitis_pregnant, narcolepsy_pregnant, thrombosis_thrombocytopenia_syndrome_pregnant: 0-5%.",compare_cohorts,gemini-2.5-flash
miscarriage,Cohort timing,"Ectopic pregnancy and miscarriage often present with similar symptoms; an ectopic pregnancy diagnosis may precede, be concurrent with, or follow an initial suspected miscarriage diagnosis, often within days. Miscarriage is typically concurrent with the presentation of antepartum haemorrhage. Entry into a 'mother table' would be concurrent with or precede the miscarriage event. Obesity and alcohol misuse typically predate or are concurrent with the pregnancy leading to miscarriage. If maternal death occurs, it is typically concurrent with or within days of the miscarriage. Stillbirth occurs in a different pregnancy, typically months to years after a miscarriage. For other listed 'pregnant' conditions, they generally occur in subsequent, later pregnancies, as miscarriage concludes the current pregnancy before these later-gestation or peripartum complications can manifest.",compare_cohorts,gemini-2.5-flash
miscarriage,Frequently seen comorbidities,"Polycystic ovary syndrome, Diabetes mellitus, Hypothyroidism, Systemic lupus erythematosus, Antiphospholipid syndrome, Uterine fibroids, Cervical incompetence, Obesity, Chronic kidney disease, Hypertension (These comorbidities are often associated with hormonal imbalances, immunological issues, anatomical abnormalities, or metabolic disturbances that can contribute to the risk of miscarriage.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
miscarriage,Frequently seen signs and symptoms,"Vaginal bleeding, Abdominal pain, Pelvic cramping, Passage of tissue, Backache, Disappearance of pregnancy symptoms (These signs and symptoms are direct indicators of the loss of pregnancy and the process of uterine expulsion.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
miscarriage,Frequently seen medications,"Misoprostol, Paracetamol, Doxycycline, Rho(D) immunoglobulin, Ibuprofen, Co-amoxiclav, Tramadol, Tranexamic acid, Iron supplements (These medications are commonly used to manage the symptoms of miscarriage, assist in the expulsion of pregnancy tissue, prevent complications such as infection, or address subsequent anaemia or Rh sensitisation.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
preterm_labour,Clinical description,"Preterm labour is the onset of regular uterine contractions with progressive cervical changes occurring before 37 weeks of gestation, often resulting from a complex interplay of factors including infection, inflammation, uterine overdistension, and placental issues.",cohort_count,gemini-2.5-flash
preterm_labour,Frequency,"Preterm labour is a common obstetric complication, affecting approximately 5-10% of pregnancies, and can be readily identified in various real-world healthcare datasets including electronic health records and insurance claims.",cohort_count,gemini-2.5-flash
preterm_labour,Median age of incident cases,25 to 35 (Individuals typically present with preterm labour during their prime reproductive years.),cohort_characteristics,gemini-2.5-flash
preterm_labour,Percentage male,"0% to 1% (As preterm labour is a condition affecting pregnant individuals, it is almost exclusively seen in females.)",cohort_characteristics,gemini-2.5-flash
preterm_labour,Survival at five years,99% to 100% (Maternal survival directly following an episode of uncomplicated preterm labour is exceptionally high.),cohort_survival,gemini-2.5-flash
preterm_labour,Cohort overlap,"pregnant_alcohol_misuse: 5-15%, antepartum_haemorrhage: 10-30%, dysfunctional_labour: 0-5%, eclampsia: 1-5%, ectopic_pregnancy: 0%, gestational_diabetes: 5-15%, hellp: 1-5%, preeclampsia: 10-25%, postpartum_endometritis: 0-5%, postpartum_haemorrhage: 5-15%, maternal_death: <0.1%, miscarriage: 0%, anaphylaxis_pregnant: <0.1%, bells_palsy_pregnant: <0.1%, deep_vein_thrombosis_pregnant: 1-5%, disseminated_intravascular_coagulation_pregnant: 1-5%, encephalitis_pregnant: <0.1%, guillain_barre_syndrome_pregnant: <0.1%, haemorrhagic_stroke_pregnant: <0.1%, immune_thrombocytopenia_pregnant: 1-5%, ischaemic_stroke_pregnant: <0.1%, myocardial_infarction_pregnant: <0.1%, myocarditis_or_pericarditis_pregnant: <0.1%, pulmonary_embolism_pregnant: 1-5%, transverse_myelitis_pregnant: <0.1%, narcolepsy_pregnant: <0.1%, thrombosis_thrombocytopenia_syndrome_pregnant: <0.1%, obesity_pregnant: 15-30%, mother_table: 95-100%, stillbirth: 5-15%",compare_cohorts,gemini-2.5-flash
preterm_labour,Cohort timing,"For pregnant_alcohol_misuse, alcohol misuse would typically pre-date or be ongoing during the pregnancy, before a preterm labour diagnosis. For antepartum_haemorrhage, antepartum haemorrhage can directly precede or coincide with the onset of preterm labour, often leading to it. For dysfunctional_labour, dysfunctional labour, if occurring, would be part of the same labour process as preterm labour. For eclampsia, eclampsia is usually diagnosed shortly before or at the time of delivery, which may be preterm. For ectopic_pregnancy, not applicable as ectopic pregnancy does not result in labour. For gestational_diabetes, gestational diabetes is typically diagnosed earlier in pregnancy, and may lead to planned preterm delivery, or spontaneous preterm labour. For hellp, HELLP syndrome is usually diagnosed shortly before or at the time of delivery, which may be preterm. For preeclampsia, preeclampsia is diagnosed earlier in pregnancy and often necessitates induction of labour or spontaneous preterm labour. For postpartum_endometritis, postpartum endometritis occurs after delivery, so it would follow preterm labour. For postpartum_haemorrhage, postpartum haemorrhage occurs immediately after delivery, so it would follow preterm labour. For maternal_death, maternal death, if it occurs, would be during or very shortly after the preterm labour and delivery due to associated complications. For miscarriage, not applicable as miscarriage occurs before the gestational age for preterm labour. For anaphylaxis_pregnant, anaphylaxis could precede or coincide with preterm labour if severe. For bells_palsy_pregnant, Bell's Palsy is generally unrelated to the timing of preterm labour. For deep_vein_thrombosis_pregnant, deep vein thrombosis can occur at any point during pregnancy, potentially before or during preterm labour. For disseminated_intravascular_coagulation_pregnant, disseminated intravascular coagulation would typically occur during or immediately after severe complications associated with preterm labour. For encephalitis_pregnant, encephalitis is generally unrelated to the timing of preterm labour. For guillain_barre_syndrome_pregnant, Guillain-Barre syndrome is generally unrelated to the timing of preterm labour. For haemorrhagic_stroke_pregnant, haemorrhagic stroke is generally unrelated to the timing of preterm labour. For immune_thrombocytopenia_pregnant, immune thrombocytopenia would typically be diagnosed earlier in pregnancy. For ischaemic_stroke_pregnant, ischaemic stroke is generally unrelated to the timing of preterm labour. For myocardial_infarction_pregnant, myocardial infarction is generally unrelated to the timing of preterm labour. For myocarditis_or_pericarditis_pregnant, myocarditis or pericarditis is generally unrelated to the timing of preterm labour. For pulmonary_embolism_pregnant, pulmonary embolism could occur around the time of preterm labour or delivery. For transverse_myelitis_pregnant, transverse myelitis is generally unrelated to the timing of preterm labour. For narcolepsy_pregnant, narcolepsy is generally unrelated to the timing of preterm labour. For thrombosis_thrombocytopenia_syndrome_pregnant, thrombosis with thrombocytopenia syndrome is generally unrelated to the timing of preterm labour. For obesity_pregnant, obesity is a chronic condition that would pre-date and be present throughout the pregnancy, including during preterm labour. For mother_table, individuals would typically enter the mother table at the beginning of their pregnancy, preceding the diagnosis of preterm labour by several months. For stillbirth, stillbirth would be diagnosed concurrently with or immediately following the preterm labour event.",compare_cohorts,gemini-2.5-flash
preterm_labour,Frequently seen comorbidities,"Previous preterm birth, Multiple gestation, Polyhydramnios, Cervical insufficiency, Preeclampsia, Placental abruption, Placenta praevia, Urinary tract infection, Gestational diabetes, Obesity (These conditions are recognised risk factors or concurrent obstetric complications that increase the likelihood of preterm labour.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
preterm_labour,Frequently seen signs and symptoms,"Uterine contractions, Backache, Pelvic pressure, Abdominal cramping, Change in vaginal discharge, Rupture of membranes, Vaginal bleeding, Cervical effacement, Cervical dilation (These symptoms reflect the physiological process of labour, indicating uterine activity and cervical changes.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
preterm_labour,Frequently seen medications,"Nifedipine, Terbutaline, Indomethacin, Magnesium sulfate, Betamethasone, Dexamethasone, Ampicillin, Erythromycin, Progesterone (These medications are administered to either halt labour progression, mature fetal lungs, treat underlying infections, or prevent recurrence in high-risk pregnancies.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
anaphylaxis_pregnant,Clinical description,"Anaphylaxis in pregnancy is a severe, life-threatening systemic hypersensitivity reaction, acute in onset, caused by the rapid release of mediators from mast cells and basophils. Common triggers include medications, food allergens, and insect stings, leading to widespread physiological disturbances.",cohort_count,gemini-2.5-flash
anaphylaxis_pregnant,Frequency,"Anaphylaxis in pregnancy is a rare but serious event. Cases can be identified in various real-world healthcare data types, particularly hospital electronic health records, emergency department records, and insurance claims due to its acute and severe presentation requiring urgent medical attention.",cohort_count,gemini-2.5-flash
anaphylaxis_pregnant,Median age of incident cases,"25 to 35 (Individuals typically present at ages consistent with the childbearing years, usually in their mid-20s to mid-30s.)",cohort_characteristics,gemini-2.5-flash
anaphylaxis_pregnant,Percentage male,"0% to 0% (As this condition specifically refers to pregnant individuals, the proportion of cases who are male will be zero.)",cohort_characteristics,gemini-2.5-flash
anaphylaxis_pregnant,Survival at five years,"98% to 99% (Maternal mortality due to anaphylaxis is very low, especially with prompt recognition and treatment, leading to an excellent long-term survival prognosis for the mother.)",cohort_survival,gemini-2.5-flash
anaphylaxis_pregnant,Cohort overlap,"You would expect 100% overlap with 'mother_table', as 'anaphylaxis_pregnant' implies the individual is a mother and pregnant. Overlap with 'obesity_pregnant' might be 20-40% reflecting general prevalence. Overlap with 'maternal_death' would be less than 1%. Overlap with other specified cohorts, such as 'preeclampsia', 'gestational_diabetes', 'deep_vein_thrombosis_pregnant', or 'postpartum_haemorrhage', would typically be low, generally less than 5%, as anaphylaxis is an acute, distinct event.",compare_cohorts,gemini-2.5-flash
anaphylaxis_pregnant,Cohort timing,"For individuals overlapping with 'mother_table', the entry for 'anaphylaxis_pregnant' would be simultaneous with or follow the initial pregnancy identification. If overlapping with 'maternal_death', the anaphylaxis event would typically precede death by hours to days. For other acute conditions, the timing of entry might be synchronous or one event quickly following the other, depending on causality or if anaphylaxis is a reaction to treatment for another condition.",compare_cohorts,gemini-2.5-flash
anaphylaxis_pregnant,Frequently seen comorbidities,"Asthma, Allergic rhinitis, Atopic dermatitis, Food allergy, Drug allergy, Insect venom allergy (These are common pre-existing allergic conditions that increase an individual's susceptibility and risk for experiencing anaphylaxis.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
anaphylaxis_pregnant,Frequently seen signs and symptoms,"Urticaria, Angioedema, Hypotension, Dyspnoea, Wheezing, Nausea, Vomiting, Dizziness, Abdominal pain, Loss of consciousness (These are the most common and severe clinical manifestations resulting from the systemic release of inflammatory mediators during an anaphylactic reaction.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
anaphylaxis_pregnant,Frequently seen medications,"Adrenaline, Hydrocortisone, Chlorphenamine, Salbutamol, Oxygen, Intravenous fluids (These medications represent the immediate, critical treatments administered to manage the acute and life-threatening symptoms of anaphylaxis.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
bells_palsy_pregnant,Clinical description,"Bell's Palsy in pregnancy is an idiopathic unilateral facial nerve paralysis, with aetiology thought to be linked to hormonal changes, fluid retention, and altered immune function during pregnancy. It is the most common cause of facial palsy during gestation.",cohort_count,gemini-2.5-flash
bells_palsy_pregnant,Frequency,"Bell's Palsy in pregnancy is rare, affecting approximately 45 per 100,000 deliveries, but is the most common facial paralysis during gestation; cases can be identified in large-scale electronic healthcare records and insurance claim databases.",cohort_count,gemini-2.5-flash
bells_palsy_pregnant,Median age of incident cases,"25 to 35 (Individuals typically present with Bell's Palsy in pregnancy during their childbearing years, often in the third trimester or puerperium, aligning with the typical age range for pregnancy.)",cohort_characteristics,gemini-2.5-flash
bells_palsy_pregnant,Percentage male,"0% to 0% (Bell's Palsy in pregnancy, by definition, affects only individuals who are pregnant, hence the proportion of males is zero.)",cohort_characteristics,gemini-2.5-flash
bells_palsy_pregnant,Survival at five years,"99% to 100% (Bell's Palsy is not typically a life-threatening condition, and the vast majority of individuals, including pregnant women, experience good recovery, with or without treatment.)",cohort_survival,gemini-2.5-flash
